command: ffmpeg -i /home/robert/Videos/bad.mkv -vf "scale=96:48" -f image2pipe -pix_fmt rgb24 -vcodec rawvideo -
current fps: 0.00 average: 0.00                     115789 function calls (112244 primitive calls) in 1.627 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1109(FileType)
        1    0.000    0.000    0.001    0.001 acceleratesupport.py:1(<module>)
       72    0.000    0.000    0.001    0.000 numerictypes.py:127(english_lower)
        1    0.000    0.000    0.003    0.003 transform_feedback2.py:36(<module>)
        1    0.000    0.000    0.003    0.003 sampler_objects.py:1(<module>)
        1    0.000    0.000    0.003    0.003 uniform_buffer_object.py:1(<module>)
       46    0.000    0.000    0.005    0.000 GL_1_3.py:12(_f)
        1    0.000    0.000    0.002    0.002 argparse.py:1742(_parse_known_args)
       15    0.000    0.000    0.001    0.000 __init__.py:1119(__init__)
       38    0.000    0.000    0.006    0.000 vertex_type_2_10_10_10_rev.py:12(_f)
        1    0.000    0.000    0.003    0.003 vertex_attrib_64bit.py:1(<module>)
        3    0.000    0.000    0.002    0.001 gettext.py:424(find)
        1    0.000    0.000    0.002    0.002 multi_draw_indirect.py:23(<module>)
        1    0.000    0.000    0.002    0.002 base_instance.py:29(<module>)
       62    0.000    0.000    0.010    0.000 baseplatform.py:373(__nonzero__)
        1    0.000    0.000    0.000    0.000 base.py:22(<module>)
        1    0.000    0.000    0.002    0.002 compute_shader.py:47(<module>)
       50    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.003    0.003 shader_atomic_counters.py:51(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
        1    0.000    0.000    0.002    0.002 vertex_array_object.py:22(<module>)
        1    0.000    0.000    0.003    0.003 transform_feedback3.py:59(<module>)
       75    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       88    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
